wrong,right,memo,出現行,抽出元ファイル,備考
พลังฟีสเซ็นทรัล,แรงเหวี่ยงหนีศูนย์กลาง,遠心力,,AT_mock4.xlsx,
แรงฟีสเซ็นทรัล ,แรงเหวี่ยงหนีศูนย์กลาง,遠心力,,AT_mock4.xlsx,
กฎพลังยาวกลาง,แรงเหวี่ยงหนีศูนย์กลาง,遠心力,,AT_mock4.xlsx,
หัวหน้าตํารวจ,ผู้กำกับการสถานีตำรวจ,警察署長,,AT_mock4.xlsx,
ใบประกาศนียบัตร,ใบอนุญาตขับขี่,運転免許証,,AT_mock4.xlsx,
ใบอนุชาต,ใบอนุญาต,免許証,,AT_mock4.xlsx,
ใบอนุสาท ,ใบอนุญาต,免許証,,AT_mock4.xlsx,
ตัดเข็มขัด,หมุนพวงมาลัย,ハンドル操作,,AT_mock4.xlsx,
ถูกปูน,ลาดยาง,アスファルト舗装,,AT_mock4.xlsx,
อํานวยความสะดวกด้วยรถ,อพยพด้วยรถยนต์,車両避難,,AT_mock4.xlsx,
ภาระ,น้ำหนักบรรทุก,積載重量,,AT_mock4.xlsx,
รถโดยสารทั่วไป,รถโดยสารธรรมดา,路線バス,,AT_mock4.xlsx,
เส้นโค้ง,ทางโค้ง,カーブ（交通用語として自然な表現）,,AT_mock4.xlsx,
เส้นโค่น,ทางโค้ง,カーブ（AIの脱字・誤変換対策）,,AT_mock4.xlsx,
บรรจุภัณฑ์,การบรรทุกสิ่งของ,積載 ,,AT_mock4.xlsx,
ที่บาร์ ,ไหล่ทาง ,路肩,,AT_mock4.xlsx,
เลเวอร์เปลี่ยนรถ ,คันเกียร์ ,ギアレバー,,AT_mock4.xlsx,
อพียูป,อพยพ,避難する,,AT_mock4.xlsx,
ทางเขา ,ทางลาดชัน,勾配のある道（山道）,,AT_mock4.xlsx,
เป็ดเบรค,แป้นเบรก,ブレーキペダル,,AT_mock4.xlsx,2026/01/24追加
ปุ๊บคลาชเชอร์,คลัตช์,クラッチ,,AT_mock4.xlsx,
เลเวอร์เปลี่ยน ,คันเกียร์,ギアレバー,,AT_mock4.xlsx,
ตัดมือจับ,หักแฮนด์,ハンドルを回す,,AT_mock4.xlsx,
น้ําอ่อน,น้ำขัง,水たまり,,AT_mock4.xlsx,
ถนนที่มีความสําคัญ,ทางเอก ,優先道路,,AT_mock4.xlsx,
ดินและน้ําเสีย,ดินโคลนและน้ำ,泥水,,AT_mock4.xlsx,
ภายในทางโดยสาร,ในพื้นที่เขตรางรถไฟ ,軌道敷内,,AT_mock4.xlsx,
ให้เสียงเตือน,บีบแตร,クラクションを鳴らす,,AT_mock4.xlsx,
เครื่องปิดทาง,เครื่องกั้นทางรถไฟ,遮断機,,AT_mock4.xlsx,wrong列が他の誤訳と被りかねないのでは？
เข็มขัดความปลอดภัย,เข็มขัดนิรภัย,シートベルト,,AT_mock4.xlsx,
สปองด์บรีก,อาการเบรกหยุ่นเหมือนเหยียบฟองน้ำ,スポンジを踏んだような感じ,,AT_mock4.xlsx,
จักรยานที่มีเครื่องมือ,รถจักรยานยนต์คันเล็ก,原動機付自転車,,AT_mock4.xlsx,
คาํสั่งให้เดินทาง,กําหนดทิศทางเดินรถ,進行方向の指定,,AT_mock4.xlsx,
กดเข้าไปในถนน,จูงรถเดิน,(バイクを)押して歩く,30,AT_mock4.xlsx,ここ以降コピペ
ฉีด,จอดรถ,駐車 (注射と誤変換),31,AT_mock4.xlsx,
ป้ายระบุรถยนต์,เครื่องหมายยืนยันรถถูกทอดทิ้ง,放置車両確認標章,31,AT_mock4.xlsx,
เสียงระฆัง,เสียงไซเรน,サイレン,32,AT_mock4.xlsx,
ทํางานลดของ,ขนถ่ายสินค้า,荷物の積卸し,33,AT_mock4.xlsx,
เบร็กของเราแข็งแรง,ประสิทธิภาพของเบรก,ブレーキのきき,34,AT_mock4.xlsx,
จักรยานแบบโครต,รถจักรยานยนต์คันเล็ก,原動機付自転車,36,AT_mock4.xlsx,
เล็บเปลี่ยน,คันเกียร์,チェンジレバー,37,AT_mock4.xlsx,
เดินไปตรงนั้นเอง,ขับผ่านไป,(そのまま)通行した,32,AT_mock4.xlsx,
รถขี่ในเส้นทาง,รถประจำทาง,路線バス,40,AT_mock4.xlsx,
เบอร์,ป้ายทะเบียน,番号票（ナンバープレート）,41,AT_mock4.xlsx,
สีฟ้า,สีเขียว,(信号の)青色 ※タイでは緑と呼ぶ,43,AT_mock4.xlsx,
ระบบต้านการล็อค,ระบบ ABS, アンチロックブレーキシステム,44,AT_mock4.xlsx,
รถไฟฟ้า,รถราง,路面電車,46,AT_mock4.xlsx,
กลไกล้ด่วน,หักหลบกะทันหัน,急ハンドル,48,AT_mock4.xlsx,
รอยยางรถ,รอยล้อรถ,タイヤの跡（わだち）,49,AT_mock4.xlsx,
ผันสูงของแนวเขา,ทางลาดชัน,勾配の急な坂,50,AT_mock4.xlsx,
ดูเลอะซาก,ดูมืดมัว,黒ずんで見えにくい,52,AT_mock4.xlsx,
ถุงอากาศสําหรับผู้ช่วยนั่ง,ถุงลมนิรภัยด้านคนนั่ง,助手席用エアバッグ,55,AT_mock4.xlsx,
เข็นไว้กับประจําตัว,ติดตั้งคาร์ซีท,チャイルドシートを設置する,55,AT_mock4.xlsx,
เขตปรับเปลี่ยนทางจักรยาน,ทางข้ามจักรยาน,自転車横断帯,56,AT_mock4.xlsx,
ให้ความสะดวก,ให้ทาง,道を譲る（優先させる）,56,AT_mock4.xlsx,
รถจักรยานยนต์โดยใช้ตัวเอง,รถจักรยานยนต์ขนาดปกติ,普通自動二輪車,58,AT_mock4.xlsx,
ซีซีซิลิคเตอร์,cc,cc（排気量の単位）,58,AT_mock4.xlsx,
การปล่อยออกของเครื่อง,ปริมาตรกระบอกสูบ,総排気量,58,AT_mock4.xlsx,
ควบคุมเครื่องยนต์,สตาร์ทเครื่องยนต์,エンジンを始動する,57,AT_mock4.xlsx,
จุดเปลี่ยนที่ออก,ทางออกอินเตอร์เชนจ์,出口のインターチェンジ,60,AT_mock4.xlsx,
เลี้ยวได้,กลับรถได้,転回（Uターン）できる,60,AT_mock4.xlsx,
ไม่เห็นทางด้านขวา,ไม่ล้ำเข้าไปในส่วนขวา,右側部分にはみ出さない,63,AT_mock4.xlsx,
หยุดการดูภาพ,จ้องมองภาพ,(画像を)注視する,64,AT_mock4.xlsx,
เครื่องมือคาร์นาบิเกชั่น,ระบบนำทาง (GPS),カーナビゲーション装置,64,AT_mock4.xlsx,
แรงโน้มถ่วงที่สูงกว่า,จุดศูนย์ถ่วงสูงขึ้น,重心が高くなる,65,AT_mock4.xlsx,
ล้มลงง่ายๆ,พลิกคว่ำได้ง่าย,横転しやすくなる,65,AT_mock4.xlsx,
ผิวของขอบแยกทางเดิน,ขอบทางเท้า,縁石の表面,66,AT_mock4.xlsx,
ยกเลิกการตรวจดูรถ,ละเว้นการตรวจเช็กสภาพรถ,(日常点検を)省略することができる,69,AT_mock4.xlsx,
ลื่นไปข้างหน้า,ลื่นไถล,横滑り,70,AT_mock4.xlsx,
ความผิดในการขัดแย้ง,การแทรกแถว,割り込み違反,71,AT_mock4.xlsx,
จักรยานยนต์แบบเดิม,รถจักรยานยนต์,原動機付自転車,72,AT_mock4.xlsx,
ป้ายระบายภัย,ไฟฉุกเฉิน,非常点滅表示灯（ハザード）,75,AT_mock4.xlsx,
นักขี่ 2 คน,การซ้อนท้าย,2人乗り,76,AT_mock4.xlsx,
การปล่อยออก,ความจุกระบอกสูบ,排気量,77,AT_mock4.xlsx,
อย่าหยุดยั้ง,ห้ามขัดขวาง,妨げてはならない,78,AT_mock4.xlsx,
รถบรรทุกจักรยานยนต์,ตะแกรงท้ายรถจักรยานยนต์,(二輪車の)荷台,80,AT_mock4.xlsx,
มือปั่น,พวงมาลัย,ハンドル（※四輪の文脈）,83,AT_mock4.xlsx,
เครื่องบรรจุ,ที่บรรทุกสัมภาระ,積載装置,84,AT_mock4.xlsx,
สภาพของถนน,สภาพถนน,道路の状況,85,AT_mock4.xlsx,
สภาวะจราจร,สภาพการจราจร,交通の状況,85,AT_mock4.xlsx,
แหลมรอบ,วงเวียน,環状交差点（ロータリー）,86,AT_mock4.xlsx,
ไล่ตาม,แซง,追い越す,87,AT_mock4.xlsx,
ประสบอุบัติเหตุ,เกิดอุบัติเหตุ,交通事故を起こす,88,AT_mock4.xlsx,
ระยะทางเบรก,ระยะเบรก,制動距離,89,AT_mock4.xlsx,
การแบ่งส่วนรับผิดชอบ,การสมทบทุนความรับผิดชอบ,責任共済,90,AT_mock4.xlsx,
เดินช้าๆ,ชะลอความเร็ว,徐行する / 速度を落として進む,91.1,AT_mock4.xlsx,
แยกเบรกออกหลายครั้ง,แตะเบรกเป็นจังหวะหลายครั้ง,ブレーキを数回に分けてかける,91.3,AT_mock4.xlsx,
ข้ามเส้นตรงกลาง,ล้ำเส้นแบ่งทิศทางจราจร,中央線を越える,91.2,AT_mock4.xlsx,
รถยนต์ขวางทาง,รถที่สวนมา,対向車,92.2,AT_mock4.xlsx,
ทางขวาง,ทางรถไฟ,踏切（鉄道の横断路）,93,AT_mock4.xlsx,
เส้นทางกลางขาดไป,ล้ำเข้าไปในเส้นกึ่งกลางถนน,中央線をはみ出す,94.3,AT_mock4.xlsx,
เปลี่ยนไฟหน้าขึ้นลง,สลับไฟสูงไฟต่ำ,前照灯を上下に切り替える,95.2,AT_mock4.xlsx,
ความเร็วเดิมๆ,ความเร็วเท่าเดิม,そのままの速度,95.3,AT_mock4.xlsx,
